conso_id;annee;conso_agri;conso_indu;conso_tert;conso_resi;conso_autre;conso_totale;code_dep
729;2018;58207;399126;1165809;1743671;76594;3443406;84
908;2019;0;310452;138575;0;0;449027;84
959;2020;64529;423509;1096211;1755063;6907;3346220;84
1075;2021;66386;441422;1147010;1845894;4335;3505047;84
1132;2021;0;307706;119671;0;0;427378;84
1377;2014;26620;397343;833328;2030274;922;3288487;84
1524;2015;0;275060;141069;0;0;416129;84
1683;2017;33712;379065;895277;2161014;311;3469379;84
1860;2018;0;308352;132784;0;0;441136;84
2084;2020;0;288792;104785;0;0;393577;84
2150;2021;0;0;0;0;0;0;84
2251;2011;25326;420276;822207;2075675;679;3344163;84
2359;2012;0;295494;133592;0;0;429086;84
2877;2017;0;307040;142448;0;0;449488;84
3022;2019;62898;437494;1151265;1753586;61030;3466274;84
34;2011;98907;1078842;799757;2425257;1377;4404138;85
361;2015;107169;1121157;849436;2535022;294;4613078;85
374;2015;0;138;0;132;0;270;85
484;2016;111755;1150932;861723;2641344;1006;4766760;85
678;2017;0;16361;5394;0;0;21755;85
796;2018;0;16528;5022;0;0;21550;85
866;2019;0;0;0;221;0;221;85
1090;2021;0;0;84;132;0;216;85
1295;2013;103669;1102560;855211;2705735;482;4767656;85
1343;2013;0;16148;5296;0;0;21444;85
1525;2015;0;15360;5586;0;0;20946;85
1636;2016;0;15862;5549;0;0;21411;85
1797;2018;209738;1207017;1112477;2128328;138764;4796324;85
1909;2019;204208;1231539;1136547;2120972;88929;4782195;85
1965;2019;0;16713;5515;0;0;22227;85
2031;2020;0;0;67;134;0;201;85
2085;2020;0;16472;4459;0;0;20932;85
2211;2021;0;17364;5373;0;0;22737;85
2310;2012;101604;1099839;839717;2612946;611;4654717;85
2360;2012;0;16420;5322;0;0;21742;85
2494;2014;96492;1091600;834553;2454573;430;4477648;85
2558;2014;0;16005;5348;0;0;21353;85
2730;2016;0;135;0;137;0;272;85
2809;2017;106418;1082467;978135;2586601;132;4753753;85
2819;2017;0;0;0;204;0;204;85
2935;2018;0;0;0;216;0;216;85
3134;2020;200678;1143520;1155398;2125850;10922;4636368;85
3239;2021;196488;1202981;1237599;2315348;6748;4959165;85
3251;2021;0;0;0;0;0;0;85
103;2012;3755;234311;374939;610896;17035;1240937;86
163;2012;0;138162;81919;0;0;220081;86
248;2013;0;142348;80761;0;0;223109;86
318;2014;0;139239;80049;0;0;219288;86
436;2015;0;136126;77620;0;0;213746;86
485;2016;3799;227248;400895;600709;432;1233082;86
496;2016;0;95;0;0;0;95;86
551;2016;0;143717;74042;0;0;217758;86
572;2016;0;46332;1786;822092;371023;1241232;86
626;2017;24;0;0;93;0;117;86
695;2017;69067;147110;210964;715372;141468;1283981;86
797;2018;0;125637;92733;0;0;218370;86
811;2018;78075;126202;107685;721592;196870;1230424;86
852;2019;11558;205230;511948;440337;17257;1186331;86
927;2019;74147;124707;105884;754450;194436;1253624;86
1023;2020;0;55761;67594;0;0;123355;86
1039;2020;79678;119253;189590;680124;107702;1176347;86
1091;2021;82;0;0;0;0;82;86
1479;2015;0;60;0;0;0;60;86
1684;2017;3307;221388;389155;582826;73;1196749;86
1798;2018;11506;219909;502599;440291;24152;1198456;86
1808;2018;0;0;0;90;0;90;86
2016;2020;5920;215123;463390;436404;1318;1122155;86
2032;2020;100;0;0;0;0;100;86
2134;2021;5451;236721;484728;467455;893;1195249;86
2252;2011;3756;236197;363286;574762;17040;1195040;86
2400;2013;3121;247160;377666;624773;17108;1269828;86
2495;2014;2309;232837;362837;563708;18190;1179882;86
2601;2015;3774;229933;385909;580814;2541;1202970;86
2679;2015;0;0;0;810735;418664;1229399;86
2878;2017;0;151615;88662;0;0;240276;86
3030;2019;0;0;0;87;0;87;86
3088;2019;0;83496;92732;0;0;176228;86
3308;2021;0;50993;75969;0;0;126962;86
3322;2021;64523;126522;202759;786345;112826;1292975;86
35;2011;3606;308363;450756;1100256;1350;1864331;87
104;2012;3879;316957;482250;1180722;872;1984681;87
401;2015;0;1173;0;6928;1674;9775;87
486;2016;3904;310012;485245;1163454;386;1963000;87
522;2016;0;1195;1617;7626;0;10438;87
655;2017;0;1304;1780;7807;0;10891;87
767;2018;0;1247;1656;7200;0;10103;87
798;2018;0;114055;9199;0;0;123254;87
1024;2020;0;115415;7042;0;0;122457;87
1256;2012;0;121876;22672;0;0;144549;87
1344;2013;0;125470;19501;0;0;144971;87
1378;2014;3510;301480;475949;1104062;514;1885516;87
1404;2014;0;1180;0;7389;1888;10457;87
1468;2015;3746;307356;481468;1131393;485;1924449;87
1526;2015;0;131051;19256;0;0;150307;87
1538;2015;0;0;0;0;0;0;87
1637;2016;0;114361;18637;0;0;132999;87
1771;2017;0;0;0;0;0;0;87
1799;2018;18240;348572;642545;904328;23788;1937474;87
1875;2018;0;0;0;0;0;0;87
1910;2019;18458;320287;623079;896343;20007;1878174;87
1966;2019;0;116502;9320;0;0;125822;87
2017;2020;17868;311334;610069;900399;1201;1840872;87
2057;2020;0;0;0;8664;1941;10605;87
2135;2021;18932;351358;633625;953038;947;1957899;87
2176;2021;0;0;0;6977;1874;8851;87
2401;2013;3716;312123;497310;1213124;1489;2027762;87
